index	タイトル	2023-08-08	2023-08-09	2023-08-10	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20
https://youtu.be/nV0-nufnzNM	松浦亜弥「奇跡の香りダンス。」				13493	23462	28995	33890	40660	47125	51697	55654	59810	63342	66386	70570	71560	74097	76682	79238	81512	83391	85498	87548	89594	92185	94628	97133	99125	101270	103382	105285	107372	109468	111444	113223	115321	117457	119442	121590	123682	125686	127440	129073	130611
https://youtu.be/B85xamk1FEM	松浦亜弥「LOVE涙色」				14224	23979	30676	35003	40658	48391	55174	62820	68838	74747	79501	86212	87840	92215	96624	101276	105792	109630	113875	118317	122435	127310	131989	136739	141101	145625	150093	154679	159014	163772	168128	171872	175752	180117	184409	188584	193790	197890	201774	205542	209296
https://youtu.be/-g8qPit4mo4	松浦亜弥「トロピカ〜ル恋して〜る」				13788	22889	28649	34276	38936	44738	49495	53429	57267	61227	64569	69820	71363	74527	77943	81267	84405	87277	90052	92872	95496	99002	102608	105786	108736	111406	114026	116814	119705	122596	125087	127226	129465	131780	133968	136228	138879	141476	143821	146091	148184
https://youtu.be/YhmSHlsDUn4	松浦亜弥「草原の人」				2835	4789	5735	6457	7260	8139	8782	9316	9805	10278	10650	11138	11240	11573	11872	12149	12417	12640	12878	13110	13370	13685	13951	14225	14450	14665	14869	15052	15259	15433	15624	15781	15955	16132	16287	16485	16654	16834	16978	17146	17299
https://youtu.be/netJmpGQYv0	藤本美貴「そっと口づけて ギュッと抱きしめて」				5397	8999	10976	12324	13752	15304	16544	17630	18678	19700	20478	21490	21727	22423	23182	23818	24473	25010	25568	26135	26657	27319	27926	28551	29067	29484	29919	30336	30726	31122	31595	31971	32393	32845	33252	33668	34015	34370	34712	35045	35334
https://youtu.be/COoY4qWqL-k	松浦亜弥「笑顔」				2446	4181	5624	6281	6833	7484	7983	8362	8743	9135	9445	9805	9899	10154	10406	10582	10787	10951	11149	11339	11526	11745	11942	12149	12329	12508	12667	12863	13036	13196	13371	13537	13702	13876	14036	14199	14356	14481	14616	14770	14884
https://youtu.be/_hSLSRvawFI	松浦亜弥「きずな」				1569	2713	3254	3659	4030	4469	4818	5082	5309	5507	5669	5860	5900	6019	6147	6248	6349	6416	6514	6631	6722	6834	6942	7046	7144	7234	7315	7387	7452	7512	7571	7643	7699	7767	7830	7883	7939	7986	8032	8077	8119
https://youtu.be/-dcOYIDgCOY	藤本美貴「ロマンティック 浮かれモード」				29971	49957	61016	70240	80231	93164	103719	113190	123108	132623	140648	152107	154994	162342	169779	176747	183637	189378	196124	202304	208941	216499	224119	231990	238778	245082	251487	257667	264248	270345	276391	282136	288102	294165	300046	305884	311986	318117	323926	329361	334443
https://youtu.be/MmLatZZU8UE	松浦亜弥「ずっと 好きでいいですか」				5548	9799	12258	14165	15828	17728	19095	20273	21368	22312	23098	24194	24455	25189	25908	26618	27231	27752	28315	28860	29361	30012	30550	31098	31604	32081	32524	32948	33356	33835	34273	34632	34996	35410	35767	36207	36555	36984	37311	37611	37883
https://youtu.be/QLg2iS6ady4	松浦亜弥「渡良瀬橋」				3299	6277	8426	9895	11171	12520	14774	15844	16661	17381	17899	18598	18783	19229	19719	20150	20558	20906	21365	21771	22171	22663	23183	23667	24099	24536	24988	25459	25894	26318	26754	27134	27537	27909	28284	28638	29049	29479	29836	30221	30645
https://youtu.be/3IaxZ9IzPEs	後藤真希「シークレット」									2934	4591	5474	6345	6865	7244	7663	7756	7945	8153	8317	8471	8596	8745	8896	9016	9177	9318	9453	9565	9680	9782	9875	9947	10030	10127	10230	10308	10390	10451	10528	10584	10643	10692	10749	10808
https://youtu.be/rbjvN6Gsz1Q	安倍なつみ「Too far away〜女のこころ〜」									779	1180	1412	1645	1884	1993	2161	2224	2240	2329	2410	2470	2532	2604	2669	2721	2773	2830	2880	2931	2979	3038	3073	3109	3151	3198	3247	3290	3332	3372	3406	3437	3478	3511	3556	3589
https://youtu.be/4f8a6TbnrL8	後藤真希「SOME BOYS! TOUCH」									6408	9664	11053	12414	13515	14322	15316	15549	16088	16634	17139	17574	17925	18326	18737	19113	19545	19928	20364	20734	21066	21421	21776	22074	22396	22727	23120	23450	23758	24041	24327	24599	24848	25037	25274	25482
https://youtu.be/HaTcLcy52yQ	後藤真希「抱いてよ!									9273	15743	19306	22256	24900	26974	29732	30254	31673	33062	34142	35210	36184	37062	37961	38729	39770	40801	41903	42835	43588	44430	45117	45753	46405	47250	48445	49600	50647	51890	52910	53838	54688	55316	55974	56708
https://youtu.be/HRHTI9Zu96o	中澤ゆうこ&高山厳「お台場ムーンライトセレナーデ」									750	1142	1336	1544	1735	1924	2122	2153	2275	2373	2457	2526	2571	2641	2724	2784	2872	2948	3032	3090	3131	3190	3230	3286	3343	3377	3426	3493	3556	3612	3656	3715	3753	3788	3831	3869
https://youtu.be/pYyATHeAyHs	中澤裕子「うらら」									596	948	1136	1307	1434	1533	1653	1672	1730	1803	1867	1915	1957	2003	2036	2074	2119	2172	2223	2253	2279	2317	2343	2370	2408	2433	2493	2534	2559	2583	2642	2684	2713	2737	2759	2782
https://youtu.be/yq56-g1wRhI	中澤裕子「DO									765	1168	1377	1595	1739	1878	2048	2078	2187	2288	2356	2432	2490	2548	2602	2655	2708	2777	2843	2908	2956	3014	3059	3096	3148	3184	3247	3298	3343	3385	3423	3443	3472	3505	3545	3576
https://youtu.be/wj3Tt9lPl5E	安倍なつみ「ザ・ストレス」									1758	4632	7646	9515	11774	14853	17235	17383	17698	17926	18089	18264	18426	18601	18751	18856	19012	19131	19251	19383	19472	19564	19647	19715	19791	19882	19982	20055	20123	20175	20243	20310	20372	20431	20495	20544
https://youtu.be/LBrZ7CSFgpo	中澤裕子「GET ALONG WITH YOU」									740	1115	1299	1504	1642	1782	1963	2001	2107	2190	2259	2330	2396	2455	2515	2570	2631	2690	2762	2815	2851	2898	2935	2966	3010	3041	3112	3164	3204	3245	3281	3320	3348	3377	3414	3442
https://youtu.be/CWUaQcick44	後藤真希「愛のバカやろう」									15264	25779	32241	38223	43597	47863	53992	55775	59091	62535	65450	68356	70584	73178	75764	78200	81204	83811	86697	89371	91567	93714	96098	98216	100369	102440	104522	106506	108747	110987	113074	115059	116887	118465	119962	121523
https://youtu.be/acC5jgRk6Zs	中澤ゆうこ「上海の風」									1659	2914	3765	4926	5918	6567	6949	7016	7239	7458	7619	7771	7890	8027	8144	8238	8357	8467	8573	8671	8744	8836	8916	8968	9052	9124	9275	9425	9546	9632	9695	9763	9835	9877	9939	9989
